label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,enum_limit_reached,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size, max query size,done checks,spared checks,paths,conditions,forks,unresolved_fork,resolved_forks,discarded,min_transient_dj,dba_instructions,x86instructions,addresses,merged,refused,aborted,wall time,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt,transient_paths_pht,transient_paths_stl,pht_status,pht_dynamic,stl_status,max_spec_depth,violations,max_depth_reached,max_paths_reached,syscalls,solver_timeout_reached,enum_limit_reached,timeout_reached,interrupted,out_of_memory,exit_code
spectrev1_masking_case_12,1,1,1,2,0,0,2,0.02307,0,0,0,0,0,0,1,0,1,0.004372,0,1,0,1,0.004372,0,0,0,0,0,2,1,0,3,0.027442,1048,1383,1,43,2,1,1,0,0,0,0,242,65,58,0,0,0,0.044369,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_13,1,1,1,2,0,0,2,0.009083,0,0,0,0,0,0,1,0,1,0.004562,0,1,0,1,0.004562,0,0,0,0,0,2,1,0,3,0.013645,808.666667,1025,1,42,2,3,3,0,0,2,0,218,62,52,0,0,0,0.028597,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_14,1,1,1,2,0,0,2,0.010602,0,0,0,0,0,0,1,0,1,0.005605,0,1,0,1,0.005605,0,0,0,0,0,2,1,0,3,0.016207,868,1185,1,43,2,1,1,0,0,0,0,228,62,55,0,0,0,0.037289,0,0,inf,relational,1,row-map,boolector,0,0,0,NoPHT,Static,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_1,1,1,1,2,0,0,2,0.008098,0,0,0,0,0,0,2,0,2,0.009531,0,2,0,2,0.009531,0,0,0,0,0,2,2,0,4,0.017629,820.75,977,2,51,4,1,1,1,0,0,0,300,82,43,0,0,0,0.041472,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_2,1,1,1,2,0,0,2,0.009167,0,0,0,0,0,0,2,0,2,0.008845,0,2,0,2,0.008845,0,0,0,0,0,2,2,0,4,0.018012,895.75,1127,2,77,4,1,1,1,0,0,0,392,116,60,0,0,0,0.041421,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_3,1,1,1,2,0,0,2,0.007898,0,0,0,0,0,0,2,0,2,0.012013,0,2,0,2,0.012013,0,0,0,0,0,2,2,0,4,0.019911,895.75,1127,2,77,4,1,1,1,0,0,0,392,116,60,0,0,0,0.045453,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_4,1,1,1,2,0,0,2,0.00949,0,0,0,0,0,0,2,0,2,0.010627,0,2,0,2,0.010627,0,0,0,0,0,2,2,0,4,0.020117,950.75,1201,2,59,4,1,1,1,0,0,0,372,98,52,0,0,0,0.043905,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_5,1,1,1,215,165,0,380,20.505538,0,0,0,0,0,0,187,0,187,8.923087,0,187,0,187,8.923087,0,0,0,0,0,215,352,0,567,29.428626,8389.765432,18322,187,6285,241,190,190,190,0,330,0,24838,6303,56,0,0,0,51.209747,0,0,inf,relational,1,row-map,boolector,0,224,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_6,1,1,1,2,0,0,2,0.007915,0,0,0,0,0,0,2,0,2,0.009189,0,2,0,2,0.009189,0,0,0,0,0,2,2,0,4,0.017105,1042.25,1210,2,61,4,1,1,1,0,0,0,374,102,62,0,0,0,0.037976,0,0,inf,relational,1,row-map,boolector,0,2,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
spectrev1_masking_case_7,1,1,1,8,2,0,10,0.048351,0,0,0,0,0,0,2,0,2,0.008769,0,2,0,2,0.008769,0,0,0,0,0,8,4,0,12,0.05712,1053.75,1389,2,145,12,5,5,5,0,4,0,666,195,58,0,0,0,0.10339,0,0,inf,relational,1,row-map,boolector,0,9,0,ExplicitSmarter,Full,NoSTL,200,0,0,0,0,0,0,0,0,0,Secure
